OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799,43.19618,-73.65178
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,41.593176,-87.502724
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,32.02937,-95.279687
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,32.7254216,-114.6198088
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,40.2425623,-82.8590673
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,41.016563,-81.868423
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,39.9617305,-82.4912676
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499,41.5571178,-83.6279321
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,35.4729886,-97.5170536
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899,35.4975654,-97.2689263
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299,32.5404447,-82.903754
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,42.0922395,-102.8983862
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666,37.92875,-77.45582
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,41.144631,-84.845049
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399,40.4111122,-95.5169286
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079,33.9243121,-81.3937132
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,33.4918203,-80.8556476
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,37.4682005,-105.8678353
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,32.418474,-88.5069819
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299,48.967618,-97.247607
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,36.6814131,-101.4814241
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299,27.5079211,-99.5069834
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,47.006123,-109.639867
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999,-1.919044,38.969054
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,35.9603948,-83.9210261
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.0429718,-104.831628
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.0429718,-104.831628
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179,39.9847938,-81.4584523
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,34.2978794,-83.8240663
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,33.6314779,-88.6593155
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,41.431534,-86.897166
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,41.3272919,-89.1287636
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589,41.3272919,-89.1287636
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449,41.3272919,-89.1287636
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289,41.3272919,-89.1287636
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,34.858852,-92.403179
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,41.6020962,-87.3370646
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459,32.7551703,-111.553493
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899,41.1273286,-85.1610061
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879,41.1273286,-85.1610061
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,38.239657,-83.487502
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,45.533555,-122.395959
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,41.5860557,-109.2194544
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,46.203165,-119.766964
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559,46.203165,-119.766964
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,33.18956,-87.45167
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,38.9824542,-93.5685013
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,41.1448682,-102.9767382
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599,43.643032,-72.251587
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,41.560212,-74.231774
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,41.8052539,-80.9476206
